Text,Author,Title
"Nice Guys tend to have a hard time making their needs a priority and have difficulty asking for what they want in clear and direct ways. This creates a sense of powerlessness. Therefore, they frequently resort to manipulation when trying to get their needs met.",Robert Glover,﻿No More Mr. Nice Guy
"Nice Guys have difficulty setting boundaries. Many Nice Guys have a hard time saying ""no,"" ""stop,"" or ""I'm going to.""",Robert Glover,﻿No More Mr. Nice Guy
"All Nice Guys believe they are not OK just as they are, and therefore must hide their flaws and become what they believe other people want them to be.",Robert Glover,﻿No More Mr. Nice Guy
"2) Boys were left to be raised by women. The",Robert Glover,﻿No More Mr. Nice Guy
"The job of turning boys into men was left to mothers and a school system dominated by women. As a result, men became comfortable being defined by women and became dependent on the approval of women.",Robert Glover,﻿No More Mr. Nice Guy
"Just about everything a Nice Guy does is consciously or unconsciously calculated to gain someone's approval or to avoid disapproval.",Robert Glover,﻿No More Mr. Nice Guy
"Nice Guys interpret a woman's approval as the ultimate validation of their worth.",Robert Glover,﻿No More Mr. Nice Guy
"Seeking women's approval gives women the power to set the tone of the relationship.",Robert Glover,﻿No More Mr. Nice Guy
"Seeking women's approval gives women the power to define men and determine their worth.",Robert Glover,﻿No More Mr. Nice Guy
"Humans connect with humans. Hiding one's humanity and trying to project an image of perfection makes a person vague, slippery, lifeless, and uninteresting.",Robert Glover,﻿No More Mr. Nice Guy
"The Nice Guy gives to others hoping to get something in return.",Robert Glover,﻿No More Mr. Nice Guy
"Helpless, whiny, wimpy, and needy are not attractive on a man. Confidence and self-assurance are.",Robert Glover,﻿No More Mr. Nice Guy
"who try to please them as weak and hold these men in contempt. Most",Robert Glover,﻿No More Mr. Nice Guy
"who try to please them as weak and hold these men in contempt. Most",Robert Glover,﻿No More Mr. Nice Guy
"Most women do not want a man who tries to please them — they want a man who knows how to please himself.",Robert Glover,﻿No More Mr. Nice Guy
"Nice Guys are afraid of making a mistake, afraid of doing it wrong, afraid of failure, afraid of losing it all.",Robert Glover,﻿No More Mr. Nice Guy
"You are the only person on this planet responsible for your needs, wants, and happiness.",Robert Glover,﻿No More Mr. Nice Guy
"Give yourself room to fail. There are no mistakes, only learning experiences.",Robert Glover,﻿No More Mr. Nice Guy
"Flowers and gifts should be used as a REWARD, not as an item to BUY her affections.",Pook,﻿The Book of Pook
"“Rejection is better than Regret”",Pook,﻿The Book of Pook
"Rejection is always better than Regret. Always.”",Pook,﻿The Book of Pook
"“So avoid the friendship route. When you see a woman you are interested in, go for her romantically. For a friend she sees, a friend you shall always be.”",Pook,﻿The Book of Pook
"“Judge by actions, not by words.”",Pook,﻿The Book of Pook
"Judge by her actions and not by her words. Judge by what she does than by what your mind wants to see.",Pook,﻿The Book of Pook
"A servant you’ll be, a friend she’ll see.",Pook,﻿The Book of Pook
"For true passion with women can only come when the man can easily walk away; the Great Catch walking away is woman’s Great Fear.”",Pook,﻿The Book of Pook
"Women would rather share a successful man than be attached to a faithful loser.",Pook,﻿The Book of Pook
"Failure is being in an unhappy marriage or a relationship where she has no true interest in you.”",Pook,﻿The Book of Pook
"Stop trying to be ‘perfect’ in woman’s eyes for you’ll wrong the truest commandment with sexuality: Do not bore women.",Pook,﻿The Book of Pook
"“The greatest risk you can take in life is not to risk it all!”",Pook,﻿The Book of Pook
"“You can be the smartest person in the world, the most talented, the most persistent, but you will never win in the world or with women unless you embrace the glory of RISK.”",Pook,﻿The Book of Pook
"Place where all Pooks come from. “Just remember...” “Opportunities",Pook,﻿The Book of Pook
